Designator,Mid X,Mid Y,Rotation,Layer
C1,146.320001,-146.25,180.0,top
C10,147.95,-140.2,180.0,top
C11,147.95,-138.1,180.0,top
C12,148.0,-142.05,180.0,top
C13,147.95,-136.0,180.0,top
C14,146.15,-134.05,270.0,top
C15,157.394822,-153.4,180.0,top
C16,155.174822,-158.6,180.0,top
C17,148.174822,-156.17,270.0,top
C18,149.274822,-156.17,270.0,top
C19,128.3,-138.45,180.0,top
C2,151.300001,-151.325,270.0,top
C20,127.4,-139.85,270.0,top
C21,127.555,-157.6,0.0,top
C22,127.555,-158.45,0.0,top
C23,137.376274,-140.676274,315.0,top
C24,133.75,-140.4,45.0,top
C25,141.3,-151.65,270.0,top
C26,131.756048,-156.093952,225.0,top
C27,126.876274,-150.726274,135.0,top
C28,130.1,-137.5,90.0,top
C29,135.5,-139.75,0.0,top
C3,148.880001,-153.55,0.0,top
C30,133.289411,-155.960589,45.0,top
C31,142.35,-151.45,270.0,top
C32,131.173726,-155.023726,315.0,top
C33,139.385,-141.27,90.0,top
C34,142.04,-139.015,180.0,top
C35,144.95,-144.145,270.0,top
C36,143.805,-147.55,0.0,top
C37,130.68,-160.96,180.0,top
C38,127.35,-143.4,45.0,top
C39,128.05,-144.0,45.0,top
C4,149.720001,-152.4,180.0,top
C5,146.330001,-145.15,180.0,top
C6,151.300001,-148.175,90.0,top
C7,147.95,-127.4,180.0,top
C8,147.95,-129.45,180.0,top
C9,147.975,-125.5,180.0,top
CARD1,134.29,-130.67,180.0,top
D1,144.3,-148.6,180.0,top
J1,156.0,-149.53,90.0,top
J2,154.21,-141.08,0.0,top
J3,158.05,-141.09,0.0,top
L1,149.770001,-145.3,0.0,top
L2,152.35,-133.05,90.0,top
L3,152.449822,-155.66,0.0,top
L4,128.05,-136.6,180.0,top
R1,140.15,-156.05,90.0,top
R10,143.65,-150.9,0.0,top
R11,143.85,-151.8,0.0,top
R12,146.15,-131.55,90.0,top
R13,145.8,-132.8,180.0,top
R14,157.914822,-158.35,180.0,top
R15,157.884822,-159.6,0.0,top
R16,138.64,-137.69,90.0,top
R17,139.74,-137.69,90.0,top
R18,132.04,-137.69,90.0,top
R19,133.14,-137.69,90.0,top
R2,143.45,-155.95,90.0,top
R21,136.44,-137.715,90.0,top
R22,133.905,-161.01,180.0,top
R3,146.7,-153.4,270.0,top
R30,134.29,-137.715,90.0,top
R4,146.15,-155.8,180.0,top
R5,145.530001,-153.05,180.0,top
R6,145.530001,-153.85,180.0,top
R7,142.45,-148.6,0.0,top
R8,147.500001,-153.48,90.0,top
R9,143.5,-150.05,0.0,top
SW1,132.65,-158.87,0.0,top
SW2,132.65,-163.1,0.0,top
U1,147.622407,-149.45,270.0,top
U2,127.8,-155.64,0.0,top
U3,134.321052,-147.953286,225.0,top
U4,129.13,-139.8,0.0,top
U5,148.1,-133.05,270.0,top
U6,157.212322,-155.75,180.0,top
U7,141.35,-154.3,180.0,top
USB1,141.68,-159.87,0.0,top
X1,141.95,-141.25,0.0,top
X2,143.5,-145.3,270.0,top
